Account Name,License Name,License Creation Date,License Expiry Date,License Class,Attribute Type,Cluster Name,License Type,License Status,Entitled Quantity,Reserved Quantity,Quantity Used by Cluster,Total Quantity Used,Unused Quantity,Cluster UUID,Cluster Tag,Managing PC Name,Managing PC UUID,SW Asset Serial Number,Node Count,Licenses Sales Order,Block Count,Support Start Date,Support Level,Is Invalid License,Product,License Asset Model,License SKU,Reserved Quantity on AWS,Purchased Quantity,Cluster Core Capacity,Cluster Flash Capacity (TiB),Cluster Flash Capacity (TB),Powered-On User VM Count,AOS Version,Last Pulse,PE Cluster Names,PE Cluster UUIDs,Account Type,Account ID,Theater,Region,Sub-Region,License Tag,License Tag (Internal),License File Name,License File Creation Date,Last Sales,Resale,Renewable,Reserved Quantity on Azure,Is Seamlessly Licensed
"Petronas Energy Canada Ltd","LIC-02072251","2023-05-17","2025-12-06","software_only","CORES","CG1NTX01","NCI Pro","Activated","60.00","0.0","60.00","60.00","0.00","00059c0d-e562-6375-7211-ac1f6b356611","-","CG1PRISM","d890c827-4e71-44c8-aa87-55b6b64398a2","23SW000291027",8,"SO-094748",8,"2023-05-17","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",60.0,"296.0","0","0","175","6.10.1","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-03435618","2023-03-10","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072252","2023-05-17","2027-01-06","software_only","CORES","CG1NTX01","NCI Pro","Activated","20.00","0.0","20.00","20.00","0.00","00059c0d-e562-6375-7211-ac1f6b356611","-","CG1PRISM","d890c827-4e71-44c8-aa87-55b6b64398a2","23SW000291028",8,"SO-120618",8,"2023-05-17","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",20.0,"296.0","0","0","175","6.10.1","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-03435618","2023-03-10","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072264","2023-05-17","2026-07-21","software_only","CORES","CG2NTX01","NCI Pro","Activated","36.00","0.0","36.00","36.00","0.00","00059c1d-becb-2afa-265f-ac1f6b3586c9","-","CG2PRISM","ea890b67-c919-4ef2-92e7-cbb20d4df250","23SW000291047",9,"SO-108811",7,"2023-05-17","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",36.0,"336.0","27.93 TiB","30.72 TB","21","6.10.1","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-03435632","2023-03-10","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072265","2023-05-17","2026-07-21","software_only","CORES","CG2NTX01","NCI Advanced Replication","Available","36.00","0.0","12.00","12.00","24.00","00059c1d-becb-2afa-265f-ac1f6b3586c9","-","CG2PRISM","ea890b67-c919-4ef2-92e7-cbb20d4df250","23SW000291048",9,"SO-108811",7,"2023-05-17","Production",False,"NCI Advanced Replication","Not Applicable","SWA-NCI-ADR-PR","0",36.0,"336.0","27.93 TiB","30.72 TB","21","6.10.1","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-03435632","2023-03-10","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072266","2023-05-17","2026-08-04","software_only","CORES","CG2NTX01","NCI Pro","Activated","36.00","0.0","36.00","36.00","0.00","00059c1d-becb-2afa-265f-ac1f6b3586c9","-","CG2PRISM","ea890b67-c919-4ef2-92e7-cbb20d4df250","23SW000291049",9,"SO-110637",7,"2023-05-17","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",36.0,"336.0","27.93 TiB","30.72 TB","21","6.10.1","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-03435632","2023-03-10","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072267","2023-05-17","2026-08-04","software_only","CORES","CG2NTX01","NCI Advanced Replication","Activated","36.00","0.0","36.00","36.00","0.00","00059c1d-becb-2afa-265f-ac1f6b3586c9","-","CG2PRISM","ea890b67-c919-4ef2-92e7-cbb20d4df250","23SW000291050",9,"SO-110637",7,"2023-05-17","Production",False,"NCI Advanced Replication","Not Applicable","SWA-NCI-ADR-PR","0",36.0,"336.0","27.93 TiB","30.72 TB","21","6.10.1","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-03435632","2023-03-10","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072273","2023-05-17","2026-11-22","software_only","CORES","B89J","NCI Pro","Activated","60.00","0.0","60.00","60.00","0.00","0005d813-479e-9912-2c37-3cecefee84a2","-","CG2PRISM","ea890b67-c919-4ef2-92e7-cbb20d4df250","23SW000291051",3,"SO-118162",3,"2023-05-17","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",60.0,"60.0","10.47 TiB","11.52 TB","4","7.3.1","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-01149496","2022-02-15","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072274","2023-05-17","2026-11-22","software_only","CORES","CG2PRISM","NCM Starter","Activated","20.00","0.0","20.00","20.00","0.00","ea890b67-c919-4ef2-92e7-cbb20d4df250","-","Not Applicable","Not Applicable","23SW000291052",0,"SO-118162",-,"2023-05-17","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",20.0,"0.0","0","0","0","7.3.1","2025-10-23","B89J","0005d813-479e-9912-2c37-3cecefee84a2","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-12286162","2025-10-07","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072275","2023-05-17","2026-11-22","software_only","CORES","CG2PRISM","NCM Starter","Activated","20.00","0.0","20.00","20.00","0.00","ea890b67-c919-4ef2-92e7-cbb20d4df250","-","Not Applicable","Not Applicable","23SW000291053",0,"SO-118162",-,"2023-05-17","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",20.0,"0.0","0","0","0","7.3.1","2025-10-23","B89J","0005d813-479e-9912-2c37-3cecefee84a2","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-12286162","2025-10-07","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072276","2023-05-17","2026-11-22","software_only","CORES","CG2PRISM","NCM Starter","Activated","20.00","0.0","20.00","20.00","0.00","ea890b67-c919-4ef2-92e7-cbb20d4df250","-","Not Applicable","Not Applicable","23SW000291054",0,"SO-118162",-,"2023-05-17","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",20.0,"0.0","0","0","0","7.3.1","2025-10-23","B89J","0005d813-479e-9912-2c37-3cecefee84a2","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-12286162","2025-10-07","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072277","2023-05-17","2027-01-06","software_only","CORES","CG2PRISM","NCM Starter","Activated","20.00","0.0","20.00","20.00","0.00","ea890b67-c919-4ef2-92e7-cbb20d4df250","-","Not Applicable","Not Applicable","23SW000291060",0,"SO-120618",-,"2023-05-17","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",20.0,"0.0","0","0","0","7.3.1","2025-10-23","CG2NTX01","00059c1d-becb-2afa-265f-ac1f6b3586c9","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-12286162","2025-10-07","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02072280","2023-05-17","2027-12-18","software_only","CORES","CG2PRISM","NCM Starter","Activated","20.00","0.0","20.00","20.00","0.00","ea890b67-c919-4ef2-92e7-cbb20d4df250","-","Not Applicable","Not Applicable","23SW000291061",0,"SO-146772",-,"2023-05-17","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",20.0,"0.0","0","0","0","7.3.1","2025-10-23","CG2NTX01","00059c1d-becb-2afa-265f-ac1f6b3586c9","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-12286162","2025-10-07","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02421494","2023-08-24","2028-08-23","software_only","CORES","CG1NTX01","NCI Pro","Activated","64.00","0.0","32.00","64.00","0.00","00059c0d-e562-6375-7211-ac1f6b356611","-","CG1PRISM","d890c827-4e71-44c8-aa87-55b6b64398a2","23SW000306981",8,"SO-165144",8,"2023-08-24","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",64.0,"296.0","0","0","175","6.10.1","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-03435618","2023-03-10","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02421494","2023-08-24","2028-08-23","software_only","CORES","CG2NTX01","NCI Pro","Activated","64.00","0.0","32.00","64.00","0.00","00059c1d-becb-2afa-265f-ac1f6b3586c9","-","CG2PRISM","ea890b67-c919-4ef2-92e7-cbb20d4df250","23SW000306981",9,"SO-165144",7,"2023-08-24","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",64.0,"336.0","27.93 TiB","30.72 TB","21","6.10.1","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-03435632","2023-03-10","2025-08-19","For Resale","Renewable","0","FALSE"
"Petronas Energy Canada Ltd","LIC-02421495","2023-08-24","2028-08-23","software_only","CORES","CG2NTX01","NCI Advanced Replication","Activated","64.00","0.0","64.00","64.00","0.00","00059c1d-becb-2afa-265f-ac1f6b3586c9","-","CG2PRISM","ea890b67-c919-4ef2-92e7-cbb20d4df250","23SW000306982",9,"SO-165144",7,"2023-08-24","Production",False,"NCI Advanced Replication","Not Applicable","SWA-NCI-ADR-PR","0",64.0,"336.0","27.93 TiB","30.72 TB","21","6.10.1","2025-10-23","-","-","Customer","0010e00001MV7N1AAL",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-03435632","2023-03-10","2025-08-19","For Resale","Renewable","0","FALSE"
