Account Name,License Name,License Creation Date,License Expiry Date,License Class,Attribute Type,Cluster Name,License Type,License Status,Entitled Quantity,Reserved Quantity,Quantity Used by Cluster,Total Quantity Used,Unused Quantity,Cluster UUID,Cluster Tag,Managing PC Name,Managing PC UUID,SW Asset Serial Number,Node Count,Licenses Sales Order,Block Count,Support Start Date,Support Level,Is Invalid License,Product,License Asset Model,License SKU,Reserved Quantity on AWS,Purchased Quantity,Cluster Core Capacity,Cluster Flash Capacity (TiB),Cluster Flash Capacity (TB),Powered-On User VM Count,AOS Version,Last Pulse,PE Cluster Names,PE Cluster UUIDs,Account Type,Account ID,Theater,Region,Sub-Region,License Tag,License Tag (Internal),License File Name,License File Creation Date,Last Sales,Resale,Renewable,Reserved Quantity on Azure,Is Seamlessly Licensed
"WhiteCap Resources","LIC-02467722","2024-05-01","2027-04-29","software_only","CORES","PRISM.WCAP.CA","NCM Starter","Activated","144.00","0.0","48.00","144.00","0.00","8606610f-7ab8-409d-9687-50bedb2cdb1f","-","Not Applicable","Not Applicable","24SW000346450",0,"SO-182862",-,"2024-04-30","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",144.0,"0.0","0","0","0","2024.3.1.7","2025-10-23","WC-STR-NXA, WC-CGY-NXD, WC-BDLNTNX01, DR-AWS-NXA","00061057-fe1d-855f-4235-3cecefdb38a6, 0005e704-225b-e742-16fd-3ceceffe1ca0, 0005902b-e433-72e8-0000-00000002a6e3, 00062138-280a-23fc-d265-1cc0ae5e57ab","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-11696964","2025-07-25","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02467722","2024-05-01","2027-04-29","software_only","CORES","Unnamed","NCM Starter","Activated","144.00","0.0","96.00","144.00","0.00","38e2f3f8-03b2-4196-91b1-1b7d7294d6a8","-","Not Applicable","Not Applicable","24SW000346450",0,"SO-182862",-,"2024-04-30","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",144.0,"0.0","0","0","0","2024.3.1","2025-10-23","WC-STR-NXA, WC-CGY-NXD, WC-BDLNTNX01, DR-AWS-NXA","00061057-fe1d-855f-4235-3cecefdb38a6, 0005e704-225b-e742-16fd-3ceceffe1ca0, 0005902b-e433-72e8-0000-00000002a6e3, 00062138-280a-23fc-d265-1cc0ae5e57ab","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-09445280","2024-09-10","2025-08-25","For Resale","Renewable","0","FALSE"
"WhiteCap Resources","LIC-02490226","2024-09-03","2027-09-02","software_only","CORES","Not Found","NCI Pro","Available","12.00","0.0","0.00","0.00","12.00","Not Found","-","Not Applicable","Not Applicable","24SW000371278",0,"SO-191731",-,"2024-09-03","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",12.0,"0.0","-","-","0","-","Not Found","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-25","For Resale","Renewable","0","-"
"WhiteCap Resources","LIC-02490227","2024-09-03","2027-09-02","software_only","CORES","PRISM.WCAP.CA","NCM Starter","Available","12.00","0.0","9.00","9.00","3.00","8606610f-7ab8-409d-9687-50bedb2cdb1f","-","Not Applicable","Not Applicable","24SW000371279",0,"SO-191731",-,"2024-09-03","Production",False,"NCM","Not Applicable","SW-NCM-STR-PR","0",12.0,"0.0","0","0","0","2024.3.1.7","2025-10-23","WC-BDLNTNX01, WC-EST-NXA","0005902b-e433-72e8-0000-00000002a6e3, 00061972-1b06-3393-1190-7cc255e1e208","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-11696964","2025-07-25","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503296","2024-11-25","2026-08-02","software_only","VM","WC-CYNNTNX01","NCI Edge Pro","Activated","9.00","0.0","2.00","9.00","0.00","00059f6d-e733-a513-0000-00000002b8cd","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387237",1,"SO-137063",1,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",9.0,"8.0","1.75 TiB","1.92 TB","2","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-02925922","2023-01-06","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503296","2024-11-25","2026-08-02","software_only","VM","WC-KBP-NXA","NCI Edge Pro","Activated","9.00","0.0","2.00","9.00","0.00","0005e712-d27c-1010-206a-3ceceffd92e0","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387237",1,"SO-137063",1,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",9.0,"12.0","3.49 TiB","3.84 TB","3","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-02143478","2022-11-01","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503296","2024-11-25","2026-08-02","software_only","VM","WC-RST-NXA","NCI Edge Pro","Activated","9.00","0.0","2.00","9.00","0.00","0005e716-153b-a19e-276d-3ceceffe1e48","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387237",1,"SO-137063",1,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",9.0,"12.0","3.49 TiB","3.84 TB","2","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-02143464","2022-11-01","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503296","2024-11-25","2026-08-02","software_only","VM","WC-RMHNTNX01","NCI Edge Pro","Activated","9.00","0.0","1.00","9.00","0.00","0005902a-f77c-9576-0000-00000002a6eb","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387237",1,"SO-137063",1,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",9.0,"8.0","1.75 TiB","1.92 TB","1","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-02926016","2023-01-06","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503296","2024-11-25","2026-08-02","software_only","VM","WC-VAL-NXA","NCI Edge Pro","Activated","9.00","0.0","1.00","9.00","0.00","0005d9f3-3eae-2c27-0c08-3cecefeec058","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387237",3,"SO-137063",3,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",9.0,"24.0","10.47 TiB","11.52 TB","2","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-01453830","2022-05-18","2025-08-25","For Resale","Renewable","0","TRUE"
"WhiteCap Resources","LIC-02503296","2024-11-25","2026-08-02","software_only","VM","WC-KER-NXA","NCI Edge Pro","Activated","9.00","0.0","1.00","9.00","0.00","000619ac-5b08-796a-65ea-7cc255e25073","-","PRISM.WCAP.CA","8606610f-7ab8-409d-9687-50bedb2cdb1f","24SW000387237",1,"SO-137063",1,"2024-11-25","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-PRO-PR","0",9.0,"8.0","0","0","2","6.10.1","2025-10-23","-","-","Customer","0013200001BbN8ZAAV",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-08-25","For Resale","Renewable","0","TRUE"
